state,R2,start_year,start_diff,start_status,2020_diff,2020_status,change,abs_change,6th_ave_diff,7th_ave_diff,ROC,ROC_abs,category,6th status,7th status,frac,note
MARYLAND,0.99542429,2008,22.75813633,Safe,35.54873371,Safe,12.79059738,12.79059738,17.11345045,33.71756275,4.26353246,4.26353246,eastern blue bloc,blue,blue,0.126448418,
VIRGINIA,0.98846363,1996,-7.202530804,Lean,12.45237393,Lean,19.65490473,19.65490473,-2.483086623,11.62626971,3.275817455,3.275817455,new south,purple,blue,0.281759974,*
WISCONSIN,0.982931015,2008,11.21743524,Lean,2.96545996,Swing,-8.251975282,8.251975282,8.247977152,3.838788223,-2.750658427,2.750658427,red belt? ,blue,red,0.716543416,
WEST VIRGINIA,0.977199902,1996,9.502478067,Lean,-36.59667026,Safe,-46.09914833,46.09914833,1.767801149,-36.63692869,-7.683191388,7.683191388,inner south,purple,red,0.209711667,*
PENNSYLVANIA,0.976830612,2004,9.95207505,Lean,3.503244054,Swing,-6.448830996,6.448830996,8.034411963,4.127717048,-1.612207749,1.612207749,red belt? ,blue,purple,0.390580975,*
COLORADO,0.972615307,1996,-6.615642376,Lean,15.74530192,Safe,22.3609443,22.3609443,-0.827051874,13.06367231,3.72682405,3.72682405,special case,purple,blue,0.285281501,western blue block*
KENTUCKY,0.959309968,1980,11.4764509,Lean,-23.59669664,Safe,-35.07314754,35.07314754,-6.098977924,-23.97884359,-3.507314754,3.507314754,inner south,red,red,0.146267052,
MISSOURI,0.954198733,2000,1.915134527,Swing,-13.05251362,Lean,-14.96764815,14.96764815,1.559313072,-13.10658547,-2.99352963,2.99352963,inner south,purple,red,0.228398894,
WASHINGTON,0.951463197,1996,7.29342229,Lean,21.54168381,Safe,14.24826152,14.24826152,10.33353698,21.36207168,2.374710253,2.374710253,western blue bloc,blue,blue,0.111164792,
TENNESSEE,0.946817713,2008,-17.75510501,Safe,-20.87049948,Safe,-3.115394469,3.115394469,-3.44207019,-20.69987035,-1.038464823,1.038464823,inner south,red,red,0.050167697,
MASSACHUSETTS,0.946696159,2008,22.94155103,Safe,35.55318653,Safe,12.61163551,12.61163551,22.88440012,33.89675426,4.203878502,4.203878502,eastern blue bloc,blue,blue,0.12402009,
NORTH CAROLINA,0.946404191,1996,-9.93956477,Lean,0.990239708,Swing,10.92980448,10.92980448,-2.928606641,1.40573543,1.82163408,1.82163408,new south,red,purple,1.29585841,*
OREGON,0.945914919,2004,11.60767836,Lean,18.42443303,Safe,6.816754668,6.816754668,9.154550475,17.43935476,1.704188667,1.704188667,western blue bloc,blue,blue,0.097720856,
GEORGIA,0.944416473,2008,-7.901027684,Lean,2.573942303,Swing,10.47496999,10.47496999,-2.145083679,1.459529643,3.491656662,3.491656662,new south,red,purple,2.392316373,*
CALIFORNIA,0.934100052,1980,-3.92336346,Swing,31.50158369,Safe,35.42494715,35.42494715,11.89819298,33.54366822,3.542494715,3.542494715,western blue bloc,blue,blue,0.105608447,
WYOMING,0.918156236,2004,-32.26454577,Safe,-40.77356297,Safe,-8.509017201,8.509017201,-24.77313572,-40.53330673,-2.1272543,2.1272543,red west,red,red,0.052481637,
NORTH DAKOTA,0.916118248,2008,-11.31624905,Lean,-31.01892596,Safe,-19.70267691,19.70267691,-15.07889015,-30.63567733,-6.56755897,6.56755897,red west,red,red,0.214376163,
ARIZONA,0.912160791,2008,-11.20668574,Lean,2.647070002,Swing,13.85375574,13.85375574,-8.11656507,2.289783643,4.617918579,4.617918579,special case,red,purple,2.016748872,*
VERMONT,0.906421335,1984,5.052783167,Swing,37.41308384,Safe,32.36030068,32.36030068,18.06026901,34.42645162,3.595588964,3.595588964,eastern blue bloc,blue,blue,0.104442625,
MICHIGAN,0.900545179,2008,13.78685286,Lean,5.121888018,Swing,-8.66496484,8.66496484,7.803473609,5.187657215,-2.888321613,2.888321613,red belt? ,blue,purple,0.556768016,
NEVADA,0.89549519,2008,9.805872028,Lean,4.728895051,Swing,-5.076976977,5.076976977,-2.97850329,6.311241546,-1.692325659,1.692325659,special case,red,purple,0.268144651,
ARKANSAS,0.892418171,1992,14.68607319,Safe,-25.28230748,Safe,-39.96838067,39.96838067,-1.396670215,-23.36341292,-5.709768667,5.709768667,inner south,purple,red,0.244389323,
SOUTH DAKOTA,0.880192593,2008,-11.09823405,Lean,-23.82577712,Safe,-12.72754307,12.72754307,-10.0880047,-24.07131983,-4.242514357,4.242514357,red west,red,red,0.176247683,
INDIANA,0.873325725,2008,-1.654684327,Swing,-13.72112029,Lean,-12.06643596,12.06643596,-7.911875499,-13.70492718,-4.02214532,4.02214532,red belt? ,red,red,0.293481699,
NEW MEXICO,0.865381018,1996,2.081399123,Swing,13.13097702,Lean,11.0495779,11.0495779,5.032485734,13.41028477,1.841596317,1.841596317,western blue bloc,blue,blue,0.13732716,
OKLAHOMA,0.863685023,2008,-33.97685103,Safe,-30.74873709,Safe,3.228113939,3.228113939,-18.43703842,-30.83173097,1.07603798,1.07603798,red west,red,red,0.034900343,
ILLINOIS,0.857355427,1980,4.925057802,Swing,19.32655498,Safe,14.40149717,14.40149717,13.52146325,20.93331414,1.440149717,1.440149717,illi/minna,blue,blue,0.068797024,
ALABAMA,0.846426085,1984,-0.098241491,Swing,-23.12329254,Safe,-23.02505105,23.02505105,-10.26870643,-22.68598973,-2.558339005,2.558339005,inner south,red,red,0.112771761,
IOWA,0.832304754,2008,6.848071931,Lean,-5.814604355,Swing,-12.66267629,12.66267629,7.771341596,-4.873846287,-4.220892095,4.220892095,red belt? ,blue,red,0.866028973,
ALASKA,0.825417797,2008,-24.22183473,Safe,-7.722830581,Lean,16.49900415,16.49900415,-17.58932035,-8.488505844,5.499668049,5.499668049,special case,red,purple,0.64789589,*
TEXAS,0.82095713,2008,-14.45592779,Safe,-3.240233271,Swing,11.21569452,11.21569452,-9.51423326,-3.381600594,3.738564841,3.738564841,new south,red,purple,1.105560736,
HAWAII,0.807356281,2008,42.33001939,Safe,31.53302602,Safe,-10.79699338,10.79699338,22.20565518,34.27528829,-3.598997792,3.598997792,western blue bloc,blue,blue,0.105002699,
OHIO,0.784667349,2004,5.344592966,Swing,-5.693601342,Swing,-11.03819431,11.03819431,2.048267791,-4.17335803,-2.759548577,2.759548577,red belt? ,purple,red,0.661229772,
CONNECTICUT,0.775181837,1980,3.220951174,Swing,22.41197365,Safe,19.19102247,19.19102247,11.55014848,20.76391002,1.919102247,1.919102247,eastern blue bloc,blue,blue,0.092424897,
DELAWARE,0.771636872,1984,2.312898066,Swing,21.30648944,Safe,18.99359138,18.99359138,11.29033673,19.10673079,2.110399042,2.110399042,eastern blue bloc,blue,blue,0.110453173,
NEW HAMPSHIRE,0.770176687,1980,-16.53173984,Safe,9.689926194,Lean,26.22166604,26.22166604,-2.03163994,7.766990781,2.622166604,2.622166604,eastern blue bloc,purple,blue,0.337603929,
MONTANA,0.736512106,2008,-4.950674962,Swing,-14.03073946,Safe,-9.080064498,9.080064498,-7.32868646,-14.54262644,-3.026688166,3.026688166,red west,red,red,0.208125278,
LOUISIANA,0.725580197,1980,7.404586891,Lean,-16.27106519,Safe,-23.67565208,23.67565208,-3.458173984,-15.21686203,-2.367565208,2.367565208,inner south,red,red,0.155588268,
NEW JERSEY,0.71898173,1980,-0.560465227,Swing,18.27603331,Safe,18.83649854,18.83649854,8.506692116,18.9275954,1.883649854,1.883649854,eastern blue bloc,blue,blue,0.099518709,
NEW YORK,0.6933829,1980,14.31669218,Safe,25.26895111,Safe,10.95225893,10.95225893,22.21780182,27.24547554,1.095225893,1.095225893,eastern blue bloc,blue,blue,0.04019845,
RHODE ISLAND,0.6797343,2000,34.32957811,Safe,23.14417871,Safe,-11.1853994,11.1853994,24.7784998,22.06459373,-2.23707988,2.23707988,eastern blue bloc,blue,blue,0.101387767,
KANSAS,0.657186139,2008,-17.64697594,Safe,-12.31459888,Lean,5.33237706,5.33237706,-14.35620713,-13.72017514,1.77745902,1.77745902,red west,red,red,0.129550753,
NEBRASKA,0.635652108,1996,-23.95002253,Safe,-16.71917197,Safe,7.230850562,7.230850562,-20.95359012,-18.14565352,1.20514176,1.20514176,red west,red,red,0.0664149,
IDAHO,0.60812408,2000,-34.2786335,Safe,-28.43280226,Safe,5.845831239,5.845831239,-25.77491519,-27.36288056,1.169166248,1.169166248,red west,red,red,0.042728186,
MINNESOTA,0.564783646,1980,16.79760271,Safe,9.448517319,Lean,-7.34908539,7.34908539,12.35607658,8.222408929,-0.734908539,0.734908539,illi/minna,blue,blue,0.089378739,
MAINE,0.533547014,2004,16.44833031,Safe,11.31271165,Lean,-5.13561866,5.13561866,9.703282442,9.828853674,-1.283904665,1.283904665,eastern blue bloc,blue,blue,0.130626084,
FLORIDA,0.485422151,1984,-8.494863281,Lean,-1.020008479,Swing,7.474854803,7.474854803,-2.122137845,1.628912796,0.830539423,0.830539423,special case,purple,purple,0.509873472,*
MISSISSIPPI,0.481626546,1980,11.53056458,Lean,-14.2069877,Safe,-25.73755228,25.73755228,-8.068764558,-13.27838892,-2.573755228,2.573755228,inner south,red,red,0.193830384,
SOUTH CAROLINA,0.445896869,2008,-11.66377275,Lean,-9.338282001,Lean,2.325490748,2.325490748,-7.471597122,-9.063867608,0.775163583,0.775163583,inner south,red,red,0.085522386,
UTAH,0.435901547,2004,-38.08837429,Safe,-18.14543003,Safe,19.94294426,19.94294426,-32.19589611,-15.37425917,4.985736064,4.985736064,red west,red,red,0.324291142,red west
