state,R2,start_year,start_diff,start_status,2020_diff,2020_status,change,abs_change,6th_ave_diff,7th_ave_diff,ROC,ROC_abs
ALABAMA,0.8464260845944702,1984,-0.09824149092022005,Swing,-23.123292536294045,Safe,-23.025051045373825,23.025051045373825,-10.268706425770947,-22.685989731078713,-2.558339005041536,2.558339005041536
ALASKA,0.8254177968461663,2008,-24.221834726772162,Safe,-7.722830580911849,Lean,16.49900414586031,16.49900414586031,-17.589320349226323,-8.48850584388255,5.499668048620104,5.499668048620104
ARIZONA,0.9121607905860345,2008,-11.206685735218148,Lean,2.647070002350299,Swing,13.853755737568447,13.853755737568447,-8.116565069957115,2.2897836432092173,4.617918579189483,4.617918579189483
ARKANSAS,0.8924181710761234,1992,14.686073186728915,Safe,-25.282307484680928,Safe,-39.96838067140985,39.96838067140985,-1.3966702148725187,-23.363412919288123,-5.709768667344264,5.709768667344264
CALIFORNIA,0.9341000517238788,1980,-3.9233634601475997,Swing,31.50158368703702,Safe,35.42494714718462,35.42494714718462,11.898192983178935,33.54366821686375,3.542494714718462,3.542494714718462
COLORADO,0.9726153069363982,1996,-6.615642375801534,Lean,15.745301924189315,Safe,22.360944299990848,22.360944299990848,-0.8270518740157212,13.063672308088858,3.726824049998475,3.726824049998475
CONNECTICUT,0.7751818366428174,1980,3.2209511743892083,Swing,22.411973645801233,Safe,19.191022471412026,19.191022471412026,11.550148479921795,20.763910022134183,1.9191022471412027,1.9191022471412027
DELAWARE,0.7716368717200699,1984,2.3128980656342946,Swing,21.30648944098455,Safe,18.993591375350256,18.993591375350256,11.29033673111146,19.10673079393575,2.110399041705584,2.110399041705584
FLORIDA,0.4854221507291579,1984,-8.494863281336029,Lean,-1.0200084786133656,Swing,7.474854802722663,7.474854802722663,-2.122137845086292,1.6289127955864928,0.8305394225247403,0.8305394225247403
GEORGIA,0.9444164732567469,2008,-7.901027684219646,Lean,2.5739423031034994,Swing,10.474969987323146,10.474969987323146,-2.145083678950051,1.4595296431326843,3.4916566624410486,3.4916566624410486
HAWAII,0.8073562809894438,2008,42.330019393952696,Safe,31.533026018051032,Safe,-10.796993375901664,10.796993375901664,22.20565517950787,34.27528829056328,-3.5989977919672214,3.5989977919672214
IDAHO,0.6081240797382427,2000,-34.278633497925526,Safe,-28.43280225865125,Safe,5.8458312392742755,5.8458312392742755,-25.77491518610158,-27.362880563148444,1.169166247854855,1.169166247854855
ILLINOIS,0.8573554269269068,1980,4.925057802476019,Swing,19.32655497695051,Safe,14.401497174474493,14.401497174474493,13.521463249016486,20.93331414124529,1.4401497174474494,1.4401497174474494
INDIANA,0.8733257250122785,2008,-1.6546843265194455,Swing,-13.72112028754454,Lean,-12.066435961025094,12.066435961025094,-7.91187549853197,-13.704927184315867,-4.022145320341698,4.022145320341698
IOWA,0.8323047544981711,2008,6.848071931208006,Lean,-5.814604354833608,Swing,-12.662676286041613,12.662676286041613,7.771341595582227,-4.873846286721345,-4.220892095347204,4.220892095347204
KANSAS,0.6571861386715788,2008,-17.646975936833453,Safe,-12.314598876984135,Lean,5.332377059849318,5.332377059849318,-14.35620712795612,-13.720175135008587,1.7774590199497726,1.7774590199497726
KENTUCKY,0.9593099683241603,1980,11.476450901137618,Lean,-23.59669663968797,Safe,-35.07314754082559,35.07314754082559,-6.098977924100783,-23.97884358868413,-3.5073147540825587,3.5073147540825587
LOUISIANA,0.72558019713254,1980,7.404586890901232,Lean,-16.27106519403389,Safe,-23.675652084935123,23.675652084935123,-3.4581739837388485,-15.21686203425834,-2.367565208493512,2.367565208493512
MAINE,0.5335470140762951,2004,16.44833031335834,Safe,11.312711653802554,Lean,-5.135618659555787,5.135618659555787,9.703282442233068,9.828853673592338,-1.2839046648889467,1.2839046648889467
MARYLAND,0.9954242896984493,2008,22.758136330178047,Safe,35.54873371077679,Safe,12.79059738059874,12.79059738059874,17.11345044573648,33.71756274570738,4.26353246019958,4.26353246019958
MASSACHUSETTS,0.9466961591274196,2008,22.94155102611535,Safe,35.55318653268283,Safe,12.611635506567481,12.611635506567481,22.884400123771215,33.896754259535506,4.20387850218916,4.20387850218916
MICHIGAN,0.900545178998424,2008,13.786852858151562,Lean,5.121888018135179,Swing,-8.664964840016383,8.664964840016383,7.803473609245755,5.187657214788954,-2.8883216133387943,2.8883216133387943
MINNESOTA,0.5647836457504974,1980,16.797602708827895,Safe,9.448517319019071,Lean,-7.349085389808824,7.349085389808824,12.356076584189104,8.22240892854037,-0.7349085389808824,0.7349085389808824
MISSISSIPPI,0.4816265457169239,1980,11.530564581099195,Lean,-14.206987700955503,Safe,-25.7375522820547,25.7375522820547,-8.068764557946643,-13.278388918717502,-2.57375522820547,2.57375522820547
MISSOURI,0.9541987328175945,2000,1.9151345274460885,Swing,-13.052513624252699,Lean,-14.967648151698787,14.967648151698787,1.5593130718642085,-13.106585473302797,-2.9935296303397574,2.9935296303397574
MONTANA,0.7365121058365535,2008,-4.950674961859225,Swing,-14.030739459962767,Safe,-9.080064498103543,9.080064498103543,-7.328686460038101,-14.542626436408781,-3.026688166034514,3.026688166034514
NEBRASKA,0.6356521079637948,1996,-23.95002253401919,Safe,-16.719171971817808,Safe,7.230850562201383,7.230850562201383,-20.953590116204563,-18.14565352061799,1.205141760366897,1.205141760366897
NEVADA,0.8954951898536497,2008,9.805872027979468,Lean,4.728895051173049,Swing,-5.076976976806419,5.076976976806419,-2.9785032903611226,6.311241546130859,-1.692325658935473,1.692325658935473
NEW HAMPSHIRE,0.7701766865494739,1980,-16.531739843135988,Safe,9.689926193918492,Lean,26.22166603705448,26.22166603705448,-2.031639940483316,7.766990781113837,2.622166603705448,2.622166603705448
NEW JERSEY,0.718981730299507,1980,-0.5604652274515731,Swing,18.27603331391291,Safe,18.836498541364485,18.836498541364485,8.506692115991697,18.927595397074853,1.8836498541364484,1.8836498541364484
NEW MEXICO,0.8653810179202662,1996,2.0813991225163586,Swing,13.1309770218912,Lean,11.04957789937484,11.04957789937484,5.032485733819443,13.410284773927312,1.8415963165624734,1.8415963165624734
NEW YORK,0.6933828997379695,1980,14.316692183461726,Safe,25.268951114192404,Safe,10.952258930730679,10.952258930730679,22.217801816374255,27.245475544435237,1.0952258930730678,1.0952258930730678
NORTH CAROLINA,0.9464041907503097,1996,-9.939564770107111,Lean,0.9902397075161662,Swing,10.929804477623277,10.929804477623277,-2.928606640980947,1.4057354300586355,1.8216340796038795,1.8216340796038795
NORTH DAKOTA,0.9161182476075728,2008,-11.31624905025626,Lean,-31.018925959547204,Safe,-19.702676909290943,19.702676909290943,-15.078890154535808,-30.635677325804217,-6.567558969763648,6.567558969763648
OHIO,0.7846673486437559,2004,5.344592966235834,Swing,-5.693601341721177,Swing,-11.03819430795701,11.03819430795701,2.048267790548078,-4.173358030107652,-2.7595485769892525,2.7595485769892525
OKLAHOMA,0.8636850228722828,2008,-33.97685103274219,Safe,-30.748737093627888,Safe,3.2281139391143014,3.2281139391143014,-18.43703842129895,-30.831730974069657,1.0760379797047672,1.0760379797047672
OREGON,0.9459149189989885,2004,11.607678358390466,Lean,18.424433026153956,Safe,6.81675466776349,6.81675466776349,9.154550474564747,17.439354762545662,1.7041886669408726,1.7041886669408726
PENNSYLVANIA,0.976830611876149,2004,9.952075049708236,Lean,3.503244053724103,Swing,-6.4488309959841335,6.4488309959841335,8.034411962835366,4.127717047556489,-1.6122077489960334,1.6122077489960334
RHODE ISLAND,0.6797342999940381,2000,34.32957811449005,Safe,23.144178712806152,Safe,-11.185399401683895,11.185399401683895,24.778499801164703,22.06459373217809,-2.237079880336779,2.237079880336779
SOUTH CAROLINA,0.4458968686877452,2008,-11.663772748626812,Lean,-9.338282000934118,Lean,2.325490747692694,2.325490747692694,-7.471597122032673,-9.063867608196208,0.7751635825642312,0.7751635825642312
SOUTH DAKOTA,0.880192592860704,2008,-11.098234045552712,Lean,-23.82577711766652,Safe,-12.727543072113807,12.727543072113807,-10.088004695797169,-24.071319828052143,-4.242514357371269,4.242514357371269
TENNESSEE,0.9468177132720416,2008,-17.755105007536436,Safe,-20.870499476811688,Safe,-3.1153944692752518,3.1153944692752518,-3.442070189517466,-20.699870345902085,-1.0384648230917506,1.0384648230917506
TEXAS,0.8209571302587939,2008,-14.455927793791968,Safe,-3.2402332712337056,Swing,11.215694522558262,11.215694522558262,-9.51423325983333,-3.3816005944925425,3.7385648408527543,3.7385648408527543
UTAH,0.435901546675862,2004,-38.08837428598922,Safe,-18.1454300281651,Safe,19.942944257824117,19.942944257824117,-32.195896109619476,-15.374259171712232,4.985736064456029,4.985736064456029
VERMONT,0.9064213353893089,1984,5.052783166653946,Swing,37.413083844727794,Safe,32.36030067807385,32.36030067807385,18.060269009682084,34.426451623602844,3.5955889642304277,3.5955889642304277
VIRGINIA,0.9884636298830679,1996,-7.2025308037665,Lean,12.452373928968719,Lean,19.65490473273522,19.65490473273522,-2.4830866225810566,11.626269714517212,3.27581745545587,3.27581745545587
WASHINGTON,0.9514631969945545,1996,7.293422290032137,Lean,21.54168381040822,Safe,14.248261520376083,14.248261520376083,10.333536981374294,21.362071683084697,2.374710253396014,2.374710253396014
WEST VIRGINIA,0.9771999024966621,1996,9.502478067035923,Lean,-36.59667026164803,Safe,-46.09914832868395,46.09914832868395,1.7678011492851118,-36.63692868746191,-7.683191388113992,7.683191388113992
WISCONSIN,0.9829310149546071,2008,11.21743524223907,Lean,2.965459960267353,Swing,-8.251975281971717,8.251975281971717,8.247977152026785,3.8387882228859693,-2.7506584273239056,2.7506584273239056
WYOMING,0.9181562364465751,2004,-32.264545770971424,Safe,-40.77356297196388,Safe,-8.509017200992453,8.509017200992453,-24.77313572348624,-40.5333067348036,-2.1272543002481132,2.1272543002481132
